train/reward,time/total_timesteps,train/std,train/learning_rate,train/policy_loss,train/n_updates,time/time_elapsed,train/explained_variance,train/entropy_loss,train/value_loss,time/fps,time/iterations
-95.81797,500,1.001643419265747,0.0007,-3020.67919921875,99,7,0.04744744300842285,-42.61540985107422,13158.9560546875,63,100
-25.850786,1000,1.0029432773590088,0.0007,-3711.585205078125,199,16,0.03444170951843262,-42.64348602294922,28523.19140625,59,200
474.62253,1500,1.0037068128585815,0.0007,3735.817626953125,299,25,0.05679064989089966,-42.67063903808594,30205.66015625,58,300
0.24772307,2000,1.0030958652496338,0.0007,-4928.21240234375,399,32,0.056978583335876465,-42.65609359741211,30241.865234375,62,400
1.3414732,2500,1.004970669746399,0.0007,43.54856872558594,499,38,-2.540205478668213,-42.721492767333984,26.202457427978516,64,500
84.78376,3000,1.0062460899353027,0.0007,-3380.92822265625,599,44,0.5454450249671936,-42.75108337402344,6541.2197265625,66,600
-228.41214,3500,1.0056307315826416,0.0007,-8699.755859375,699,51,0.15919619798660278,-42.726287841796875,58119.1796875,68,700
0.032708853,4000,1.0068382024765015,0.0007,-3887.098876953125,799,57,0.31986910104751587,-42.760440826416016,10719.7099609375,69,800
-389.54803,4500,1.0078532695770264,0.0007,-5878.2587890625,899,63,0.287986159324646,-42.78846740722656,24497.921875,70,900
-0.30179635,5000,1.0101271867752075,0.0007,392.1802673339844,999,69,-3.3510971069335938,-42.85455322265625,721.2384033203125,71,1000
-105.88571,5500,1.009597897529602,0.0007,4677.28076171875,1099,76,0.3060149550437927,-42.83584976196289,11726.4814453125,72,1100
-107.11541,6000,1.0081266164779663,0.0007,-379.2269592285156,1199,82,-0.07547152042388916,-42.79514694213867,5408.1005859375,72,1200
-39.15825,6500,1.0078625679016113,0.0007,-9521.7958984375,1299,88,-0.1272221803665161,-42.78611755371094,53091.2265625,73,1300
-301.55725,7000,1.00654935836792,0.0007,-3724.091796875,1399,94,0.04642224311828613,-42.752777099609375,19165.60546875,73,1400
-23.00397,7500,1.0070600509643555,0.0007,782.4461059570312,1499,101,0.12428772449493408,-42.76042556762695,499.96563720703125,74,1500
9.499701,8000,1.0055872201919556,0.0007,1704.3818359375,1599,107,0.2149057388305664,-42.723472595214844,2273.47509765625,74,1600
54.8554,8500,1.0073091983795166,0.0007,2223.42626953125,1699,113,0.21844524145126343,-42.77378845214844,3025.775634765625,74,1700
-18.356077,9000,1.0037978887557983,0.0007,-790.00927734375,1799,119,-1.2323460578918457,-42.66477584838867,962.6202392578125,75,1800
-49.591206,9500,1.0033376216888428,0.0007,2247.32177734375,1899,126,0.1425086259841919,-42.64725875854492,9034.333984375,75,1900
-29.7672,10000,1.004158616065979,0.0007,-1305.852783203125,1999,132,-0.1928856372833252,-42.67869567871094,1323.3621826171875,75,2000
-15.347483,10500,0.9995877146720886,0.0007,-1926.1292724609375,2099,138,0.2754672169685364,-42.53207015991211,3046.132080078125,75,2100
75.798515,11000,0.9985223412513733,0.0007,-2616.186767578125,2199,146,0.6091883778572083,-42.50475311279297,3800.86328125,75,2200
111.23083,11500,0.9988002181053162,0.0007,4158.93505859375,2299,153,0.34944283962249756,-42.51090621948242,11433.244140625,75,2300
45.562557,12000,0.9987937211990356,0.0007,-580.7825317382812,2399,161,0.10697537660598755,-42.5116081237793,4689.3447265625,74,2400
33.995,12500,0.9985973238945007,0.0007,-823.2350463867188,2499,169,-0.9552918672561646,-42.50344467163086,1018.4392700195312,73,2500
86.49617,13000,0.9980924129486084,0.0007,-1236.2857666015625,2599,175,0.3127954602241516,-42.478118896484375,1961.9798583984375,74,2600
35.453682,13500,0.9974202513694763,0.0007,316.33294677734375,2699,183,0.3865498900413513,-42.45812225341797,580.7508544921875,73,2700
106.78617,14000,1.0001349449157715,0.0007,-837.2550659179688,2799,190,0.6068335473537445,-42.547584533691406,1130.5986328125,73,2800
-121.32996,14500,0.9990552067756653,0.0007,7052.5263671875,2899,196,0.6758123636245728,-42.50471496582031,25109.275390625,73,2900
-7.249971,15000,0.9982540607452393,0.0007,-1522.739990234375,2999,204,-1.0622353553771973,-42.48038864135742,1901.2320556640625,73,3000
-50.310547,15500,0.9982560873031616,0.0007,-559.3850708007812,3099,211,-0.07171380519866943,-42.48521041870117,928.8253173828125,73,3100
-107.72375,16000,0.9964723587036133,0.0007,-442.80743408203125,3199,218,0.5581218302249908,-42.43540573120117,522.8008422851562,73,3200
-7.550517,16500,0.9960418343544006,0.0007,2817.95263671875,3299,224,0.7730713933706284,-42.41823959350586,4761.88720703125,73,3300
34.030407,17000,0.9981577396392822,0.0007,3260.93603515625,3399,230,0.40441423654556274,-42.47936248779297,7081.86572265625,73,3400
72.96938,17500,0.9973347187042236,0.0007,-244.84829711914062,3499,236,-0.5270270109176636,-42.45415115356445,429.977294921875,73,3500
44.79572,18000,0.9970161318778992,0.0007,1482.57421875,3599,243,0.6161830723285675,-42.44438171386719,1497.216552734375,73,3600
-4.2333364,18500,0.9949506521224976,0.0007,-109.4608383178711,3699,249,0.5871135592460632,-42.38936996459961,264.71759033203125,74,3700
23.49517,19000,0.9944717288017273,0.0007,1437.09228515625,3799,257,0.7551714926958084,-42.3700065612793,1240.648193359375,73,3800
39.808666,19500,0.9966968297958374,0.0007,304.7063903808594,3899,265,0.3679637312889099,-42.4393196105957,627.10888671875,73,3900
-14.540384,20000,0.9963901042938232,0.0007,-287.76263427734375,3999,273,0.5274309515953064,-42.43379211425781,602.7362060546875,73,4000
-17.401335,20500,0.993076503276825,0.0007,-173.60104370117188,4099,280,0.5864535570144653,-42.32465362548828,161.96328735351562,73,4100
57.54544,21000,0.9943268895149231,0.0007,330.6472473144531,4199,287,0.592818409204483,-42.36626052856445,308.4974670410156,72,4200
0.1936678,21500,0.9917036890983582,0.0007,-1661.790283203125,4299,296,0.4373600482940674,-42.282596588134766,1825.035888671875,72,4300
2.1655424,22000,0.9924877882003784,0.0007,610.9915771484375,4399,303,-0.2176727056503296,-42.308563232421875,414.9981384277344,72,4400
0.1232282,22500,0.9961257576942444,0.0007,-98.65191650390625,4499,309,0.33814752101898193,-42.420310974121094,821.3828125,72,4500
-4.358962,23000,0.9975805878639221,0.0007,-47.63324737548828,4599,318,0.7880419790744781,-42.46049499511719,156.37643432617188,72,4600
-10.586264,23500,0.9976389408111572,0.0007,-1465.812255859375,4699,325,-2.9090967178344727,-42.462345123291016,1323.0113525390625,72,4700
-3.9559145,24000,0.9963272213935852,0.0007,-97.94654083251953,4799,331,0.4313189387321472,-42.41891860961914,253.20401000976562,72,4800
37.415672,24500,0.9951213598251343,0.0007,-1028.9244384765625,4899,338,0.3766719102859497,-42.3803825378418,1212.6068115234375,72,4900
-2.5185494,25000,0.9956713914871216,0.0007,-706.530517578125,4999,345,0.48017418384552,-42.40350341796875,484.0023498535156,72,5000
66.730835,25500,0.9955427646636963,0.0007,121.76505279541016,5099,353,0.942870806902647,-42.39868927001953,46.367916107177734,72,5100
2.9246495,26000,0.9959618449211121,0.0007,25.976512908935547,5199,361,0.1379966139793396,-42.407203674316406,126.24259185791016,71,5200
60.068905,26500,0.9956727623939514,0.0007,84.72377014160156,5299,368,0.6245037317276001,-42.394073486328125,150.57962036132812,71,5300
-8.621026,27000,0.9944906830787659,0.0007,773.1702880859375,5399,375,0.7584791928529739,-42.360225677490234,344.6309509277344,71,5400
5.910207,27500,0.9942153096199036,0.0007,-1262.483642578125,5499,383,-0.11673319339752197,-42.35360336303711,2335.83251953125,71,5500
7.847251,28000,0.9962678551673889,0.0007,584.7236938476562,5599,389,0.8269284516572952,-42.404380798339844,256.60577392578125,71,5600
50.67538,28500,0.9981979727745056,0.0007,19.354801177978516,5699,396,0.14797115325927734,-42.463035583496094,321.76507568359375,71,5700
-15.23489,29000,0.9950932860374451,0.0007,1787.1510009765625,5799,402,-0.0027292966842651367,-42.37836837768555,2504.09619140625,71,5800
1.9901394,29500,0.9915255308151245,0.0007,272.94024658203125,5899,410,0.31040215492248535,-42.267059326171875,66.43177795410156,71,5900
0.2985608,30000,0.9906811118125916,0.0007,-1280.248046875,5999,417,0.15890711545944214,-42.23566436767578,1267.4207763671875,71,6000
5.933304,30500,0.9880470037460327,0.0007,795.2964477539062,6099,425,0.6332643032073975,-42.152587890625,429.2134704589844,71,6100
-10.802596,31000,0.9871419072151184,0.0007,-1699.114501953125,6199,433,0.43136823177337646,-42.131805419921875,1655.779541015625,71,6200
-2.2726169,31500,0.9856119751930237,0.0007,698.3703002929688,6299,440,0.568488359451294,-42.08531188964844,394.8108825683594,71,6300
-0.2675025,32000,0.9879209995269775,0.0007,124.2748031616211,6399,448,0.8387855887413025,-42.15001678466797,23.10363006591797,71,6400
-7.7176,32500,0.9872909784317017,0.0007,301.35003662109375,6499,457,0.24231070280075073,-42.13039016723633,89.25440979003906,71,6500
-0.3702266,33000,0.9868362545967102,0.0007,441.984130859375,6599,463,0.8691615611314774,-42.11665344238281,188.49301147460938,71,6600
21.45514,33500,0.9867647886276245,0.0007,552.562255859375,6699,472,0.3602790832519531,-42.111961364746094,730.080810546875,70,6700
-4.750325,34000,0.9875198006629944,0.0007,1353.296630859375,6799,479,0.054795682430267334,-42.13177490234375,953.77880859375,70,6800
-3.856905,34500,0.9868041276931763,0.0007,-1881.613525390625,6899,486,0.47130221128463745,-42.114871978759766,2045.5797119140625,70,6900
65.41208,35000,0.9869232177734375,0.0007,-947.0452880859375,6999,492,0.04114407300949097,-42.11680221557617,989.1455078125,71,7000
-6.300935,35500,0.9889897704124451,0.0007,228.2333526611328,7099,499,0.9387688152492046,-42.178489685058594,54.276634216308594,71,7100
2.3553843,36000,0.9897318482398987,0.0007,-55.207984924316406,7199,505,0.5868701040744781,-42.21554183959961,18.1793155670166,71,7200
0.9190682,36500,0.990112841129303,0.0007,253.2398681640625,7299,512,0.16025018692016602,-42.21730041503906,732.44677734375,71,7300
-57.467278,37000,0.9913206100463867,0.0007,-357.0226135253906,7399,519,-0.044875264167785645,-42.253173828125,675.2479858398438,71,7400
59.762527,37500,0.9895787835121155,0.0007,447.9727478027344,7499,526,0.5974260866641998,-42.200138092041016,760.3614501953125,71,7500
12.748714,38000,0.9891250729560852,0.0007,1196.7762451171875,7599,534,0.43427151441574097,-42.18641662597656,1172.342041015625,71,7600
75.58411,38500,0.9868532419204712,0.0007,406.2907409667969,7699,541,0.1581389307975769,-42.12270736694336,151.66770935058594,71,7700
-18.926281,39000,0.9855242371559143,0.0007,-1798.8841552734375,7799,549,-0.004617810249328613,-42.08004379272461,2222.298828125,70,7800
6.7505445,39500,0.9856730103492737,0.0007,553.5868530273438,7899,557,0.746056467294693,-42.085044860839844,215.8035430908203,70,7900
10.122539,40000,0.9846124649047852,0.0007,684.873046875,7999,564,-0.8828456401824951,-42.05097198486328,734.343994140625,70,8000
-42.107708,40500,0.9853292107582092,0.0007,179.35726928710938,8099,572,-0.4482916593551636,-42.07476806640625,167.3606414794922,70,8100
-69.13863,41000,0.9842029809951782,0.0007,-188.5921173095703,8199,580,-0.9437766075134277,-42.039772033691406,178.1703338623047,70,8200
103.296936,41500,0.9827603697776794,0.0007,38.65227127075195,8299,588,0.17183691263198853,-41.98979949951172,743.5709228515625,70,8300
5.8771024,42000,0.9828216433525085,0.0007,-3633.302001953125,8399,596,-4.493042469024658,-41.987361907958984,8227.1953125,70,8400
29.851767,42500,0.9823845624923706,0.0007,-1282.1351318359375,8499,603,-2.2209889888763428,-41.97929763793945,1120.482421875,70,8500
3.2833924,43000,0.981213390827179,0.0007,-94.74177551269531,8599,611,-0.2957324981689453,-41.94384765625,42.01099395751953,70,8600
-69.57119,43500,0.9813216924667358,0.0007,-1637.697021484375,8699,619,0.8485326915979385,-41.941001892089844,1688.221923828125,70,8700
8.707078,44000,0.9798992276191711,0.0007,866.2960815429688,8799,627,0.5563174486160278,-41.89579391479492,602.169189453125,70,8800
-7.008858,44500,0.9803077578544617,0.0007,254.13735961914062,8899,635,0.51006680727005,-41.910011291503906,1158.26220703125,70,8900
-47.297386,45000,0.980328381061554,0.0007,2289.016357421875,8999,642,0.04263734817504883,-41.905948638916016,5066.46484375,70,9000
39.831345,45500,0.9778186082839966,0.0007,-132.09597778320312,9099,650,0.27972179651260376,-41.83428955078125,56.57049560546875,69,9100
20.944508,46000,0.9767840504646301,0.0007,-945.9612426757812,9199,658,0.8053996860980988,-41.79475021362305,708.7578125,69,9200
-0.2015398,46500,0.9788010716438293,0.0007,2807.55908203125,9299,666,0.28458845615386963,-41.86134338378906,4961.4375,69,9300
-0.5080299,47000,0.976803719997406,0.0007,-3.8401122093200684,9399,673,0.28777122497558594,-41.79816436767578,2279.779296875,69,9400
0.6692585,47500,0.9766544699668884,0.0007,-868.4583740234375,9499,681,-4.591310024261475,-41.787994384765625,1077.671142578125,69,9500
54.426567,48000,0.9760286808013916,0.0007,-667.8636474609375,9599,689,0.3631269931793213,-41.778202056884766,337.5065002441406,69,9600
10.924868,48500,0.9771413207054138,0.0007,-441.0376892089844,9699,697,0.6529918611049652,-41.803829193115234,162.6995849609375,69,9700
-57.555237,49000,0.9775702357292175,0.0007,-581.9168090820312,9799,705,0.6990011036396027,-41.823577880859375,501.15301513671875,69,9800
8.289617,49500,0.9765604734420776,0.0007,279.7646484375,9899,712,0.5715414583683014,-41.782814025878906,639.6453857421875,69,9900
38.750378,50000,0.9772536158561707,0.0007,-1606.3548583984375,9999,720,0.24610960483551025,-41.80939483642578,1847.695556640625,69,10000
